Entity,Entity Type,Count,Mapped Entity,Similarity
skull,anatomy,52877,Skull,0.9917632136624682
brain,anatomy,49008,Brain,0.9914507348979584
intracranial,anatomy,48454,Cranial cavity,0.8182837098572205
paranasal sinuses,anatomy,41884,Paranasal sinus,0.9751493540949911
vascular,anatomy,39385,Systemic artery,0.7259340238354524
mastoid air cells,anatomy,36199,Mastoid air cell,0.9643078534683635
orbits,anatomy,32172,Orbital compartment,0.8460260693880186
sinuses,anatomy,25223,Paranasal sinus,0.8224106350944664
ventricles,anatomy,25101,Cerebral ventricle,0.7448617670957496
other,anatomy,23831,Eye,0.45711860742910326
extra-axial,anatomy,23662,Axial skeletal system,0.5410908293624681
white matter,anatomy,17565,White matter of neuraxis,0.9172163918989201
sinuses / orbits,anatomy,16758,Orbital cavity,0.7548329979369843
periventricular,anatomy,15845,Cerebral ventricle,0.7386511533969723
calvarium,anatomy,13339,Calvarium,0.9922298560141091
sulci,anatomy,12620,Central sulcus,0.7559665469804315
cerebral,anatomy,10947,Brain,0.931676809493474
cortical,anatomy,10562,Cerebral cortex,0.7426145905065177
mastoids,anatomy,9431,Mastoid part of head,0.8346467462224034
calvarial,anatomy,8226,Calvarium,0.8711565622160554
ventricular,anatomy,8025,Cerebral ventricle,0.641570016286931
basal ganglia,anatomy,7580,Nucleus of brain,0.7235307542487226
basal cisterns,anatomy,7276,Interpeduncular cistern,0.7760755091160519
brainstem,anatomy,7254,Brainstem,0.981558964611878
cerebellum,anatomy,7085,Cerebellum,0.9789225673487423
periventricular white matter,anatomy,7033,White matter of metencephalon,0.8198968784713803
subcortical,anatomy,6058,Subcortical gray matter,0.7717983813535777
basilar cisterns,anatomy,5748,Basal cistern,0.7892287997578907
bony calvarium,anatomy,5722,Calvarium,0.8734887034836296
skull base,anatomy,5365,Skull,0.8723589631216953
midline,anatomy,4856,Midface,0.5903774179961735
osseous structures,anatomy,4496,Bony part of bone organ,0.7800009461496791
globes,anatomy,4484,Eyeball,0.9140323698472449
vessel,anatomy,4354,Wall of artery,0.5728760007458256
