Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
no,descriptor,273021,no acute large vascular territory infarct .,certainty,definitely_absent,definitely_absent,,
acute,descriptor,125031,no acute large vascular territory infarct .,temporality,acute,acute,,
normal,descriptor,46008,"aspects ( alberta stroke program early ct score , [url] - ganglionic level infarction ( caudate , lentiform nuclei , internal capsule , insula , m1-m3 cortex ) : 7 - supraganglionic infarction ( m4-m6 cortex ) : 3 total score ( 0-10 with 10 being normal ) : 10",normalcy,normal,normal,,
chronic,descriptor,43965,mild chronic microvascular ischemic disease .,temporality,chronic,chronic,,
clear,descriptor,38618,the paranasal sinuses the left mastoid air cells are clear .,occupancy,empty,empty,,
mild,descriptor,37982,"nearly resolved left ventricular entrapment , mild residual hydrocephalus . 6 mm left-to-right midline shift .",severity,mild,mild,,
stable,descriptor,30918,"stable position of left frontal ventriculostomy catheter coursing to the right hemisphere , terminating at right corona radiata .",change,stable,stable,,
intact,descriptor,22849,skull : calvarium is intact .,integrity,intact,intact,,
small,descriptor,15673,small left frontal scalp hematoma is postprocedural .,size,qualitative,small,,
unchanged,descriptor,12405,unchanged left frontal and left occipital encephalomalacia .,change,stable,stable,,
diffuse,descriptor,11596,there is stable diffuse cerebral volume loss .,distribution,diffuse,diffuse,,
moderate,descriptor,11433,moderate paranasal sinus mucosal thickening with life-support lines in place .,severity,moderate,moderate,,
no evidence of,descriptor,10870,"brain : no evidence of acute infarction , hemorrhage , hydrocephalus , extra-axial collection or mass lesion / mass effect .",certainty,definitely_absent,definitely_absent,,
old,descriptor,10422,mild chronic small vessel disease and old caudate lacune noted .,temporality,chronic,chronic,,
abnormal,descriptor,10376,no abnormal extraaxial fluid collections are identified .,normalcy,abnormal,abnormal,,
patent,descriptor,9357,the basal cisterns are patent .,patency,patent,patent,,
large,descriptor,8434,no acute large vascular territory infarct .,size,qualitative,large,,
hyperdense,descriptor,7725,vascular : no hyperdense vessels .,density,hyperdense,hyperdense,,
new,descriptor,7712,there is no new hemorrhage .,change,appearance,appearance,,
remote,descriptor,6252,remote lacunar infarcts are present in the left internal capsule and right thalamus .,temporality,chronic,chronic,,
focal,descriptor,5885,no focal lytic or blastic lesions are present .,distribution,localized,localized,,
minimal,descriptor,5660,left mastoid sclerosis and minimal opacifications with changes suggesting prior partial mastoidectomy .,severity,minimal,minimal,,
likely,descriptor,5429,periventricular white matter low attenuation likely secondary to microangiopathy .,certainty,probably_present,probably_present,,
hypoattenuation,descriptor,5130,periventricular white matter hypoattenuation does not appear significantly changed and is compatible with mild to moderate chronic small vessel ischemic disease .,density,hypodense,hypodense,,
scattered,descriptor,4924,scattered carotid vascular calcification skull : normal .,distribution,scattered,scattered,,
without,descriptor,4558,"there is an approximately 1 . 1 cm area of mixed attenuation within the right suprahilar hemisphere ( coronal image 52 , series 5 ) , with associated minimal amount of surrounding vasogenic edema but without associated mass effect , not definitely seen on prior examinations .",certainty,definitely_absent,definitely_absent,,
calcified,descriptor,4296,the carotid siphons are calcified .,composition,solid,calcified,,
suspicious,descriptor,3721,no suspicious intracranial vascular hyperdensity .,malignancy_status,probably_malignant,probably_malignant,,
hypodensity,descriptor,3418,mild hypodensity in the white matter consistent with chronic small vessel ischemic change .,density,hypodense,hypodense,,
confluent,descriptor,2443,patchy and confluent bilateral white matter hypodensity and chronic lacunar infarcts in the bilateral deep gray matter nuclei .,distribution,confluent,confluent,,
subacute,descriptor,2309,there is no evidence of acute hemorrhage or secondary signs reflecting mass effect or subacute or chronic focal territorial infarction .,temporality,subacute,subacute,,
similar,descriptor,1802,there is mild cerebral and cerebellar atrophy which appears similar to the prior study from 7 / 1 / 2008 .,change,stable,stable,,
increased,descriptor,1642,"there is mild generalized cerebral atrophy , increased from prior .",change,increase,increase,,
tiny,descriptor,1621,a tiny hypodensity in the right caudate head is stable and likely due to remote lacunar infarct .,size,qualitative,very_small,,
multiple,descriptor,1584,there is mucosal thickening in multiple ethmoid air cells .,quantity,qualitative,multiple,,
hyperdensity,descriptor,1554,"brain : there is a small focus of hyperdensity along the left side of the cerebral falx on sequence 4 , image 22 .",density,hyperdense,hyperdense,,
severe,descriptor,1501,severe mass effect with severe effacement of the left lateral ventricle and 2 . 1 cm rightward midline shift .,severity,severe,severe,,
displaced,descriptor,1494,no displaced skull fractures are identified .,position,abnormal_position,abnormal_position,,
several,descriptor,1369,sinuses / orbits : there is mucosal thickening in several ethmoid air cells bilaterally .,quantity,qualitative,multiple,,
enlarged,descriptor,1109,brain : moderately enlarged ventricles and subarachnoid spaces .,size,qualitative,large,,
normal size,descriptor,972,normal size and position of the ventricles .,size,qualitative,medium,,
probably,descriptor,911,this probably represents scarring associated with old trauma or an old hematoma .,certainty,probably_present,probably_present,,
4 mm,descriptor,848,small subdural hemorrhage on the right measuring 4 mm .,size,numeric,numeric,,
5 mm,descriptor,829,"mild hydrocephalus , new from prior mri ( anterior recess of third ventricles is 5 mm , previously 3 mm , slightly increasing temporal horn dilatation ) .",size,numeric,numeric,,
6 mm,descriptor,792,"nearly resolved left ventricular entrapment , mild residual hydrocephalus . 6 mm left-to-right midline shift .",size,numeric,numeric,,
ill-defined,descriptor,758,"there is an ill-defined approximately 1 cm area of prominent hypoattenuation , asymmetric , affecting the right frontal subcortical and periventricular white matter .",margin,poorly_defined,poorly_defined,,
improved,descriptor,725,"midline shift is improved , now measuring 7 mm at the foramen of adolph versus 8 mm previously .",change,improvement,improvement,,
resolved,descriptor,707,the intraventricular hemorrhage previously demonstrated has essentially resolved .,change,resolution,resolution,,
3 mm,descriptor,700,there is a 3 mm calcification within the white matter in the subcortical region of the right parietal lobe .,size,numeric,numeric,,
7 mm,descriptor,665,"midline shift is improved , now measuring 7 mm at the foramen of adolph versus 8 mm previously .",size,numeric,numeric,,
8 mm,descriptor,609,"midline shift is improved , now measuring 7 mm at the foramen of adolph versus 8 mm previously .",size,numeric,numeric,,
benign,descriptor,582,small upper frontal midline benign external table osteoma .,malignancy_status,definitely_benign,definitely_benign,,
smaller,descriptor,528,expected evolution of right parietal infarct and other smaller lacunar infarcts seen on prior mri .,change,decrease,decrease,,
