Entity,IRI
Neural network of lacrimal bone,fma.fma314925
Skeletal system of mouth,fma.fma289628
Left emissary sphenoidal foramen,fma.fma54787
Anterior pole of right eyeball,fma.fma58115
Trunk of uncal artery,fma.fma76192
Wall of pharyngotympanic tube,fma.fma60069
Periosteum of lacrimal bone,fma.fma259817
White matter of right superior occipital gyrus,fma.fma271063
Left transverse facial artery,fma.fma49659
Distal tendon of auricularis anterior,fma.fma319650
Systemic arterial tree,fma.fma49894
Intermaxillary suture,fma.fma52963
Vasculature of head,fma.fma74710
Left fourth anterior intercostal vein,fma.fma4792
Left levator palpebrae superioris,fma.fma49049
Right posterior spinal artery,fma.fma50523
Vein of utricle of right internal ear,fma.fma52423
Ramus proper of mandible,fma.fma53661
Supra-orbital margin,fma.fma317104
Right dorsolateral prefrontal cortex,fma.fma276191
Set of jaws,fma.fma284646
Occipital branch to scalp,fma.fma79407
Trunk of right subclavian vein,fma.fma66650
Eighth anterior intercostal vein,fma.fma4737
Trunk of right sixth anterior intercostal vein,fma.fma78161
Frontal lobe,fma.fma61824
Hair of external auditory meatus,fma.fma0327240
Basilar artery,fma.fma50542
Scleral spur,fma.fma59704
Middle ear,fma.fma56513
Anterior ethmoidal artery,fma.fma49986
Atlantic part of right vertebral artery,fma.fma50501
Brodmann area 7 of cuneus,fma.fma271788
Right nasal cavity,fma.fma276108
Left inferior ophthalmic vein,fma.fma51251
Dorsal scapular vein,fma.fma22931
Branch of right anterior choroidal artery to right lateral geniculate body,fma.fma50142
Left pharyngeal vein,fma.fma50847
Olfactory gland,fma.fma75801
Trunk of right superior epigastric vein,fma.fma78137
Set of accessory visual structures,fma.fma76554
Left stapedius,fma.fma49030
Nucleus of midbrain tegmentum,fma.fma258768
Spine of helical part of right auricular cartilage,fma.fma320951
Superficial layer of left levator palpebrae superioris,fma.fma49140
Parotid branch of right superficial temporal artery,fma.fma49655
Right anterior calcarine sulcus,fma.fma275267
Trunk of inferior laryngeal vein,fma.fma66656
Accessory nerve tract,fma.fma72626
Brodmann area 13 of right precentral gyrus,fma.fma273418
Right foramen rotundum,fma.fma54781
Branch of left anterior choroidal artery to left optic tract,fma.fma50139
Trunk of retromandibular vein,fma.fma77887
Trunk of lateral medullary branch of left vertebral artery,fma.fma302133
Orbital part of zygomatic bone,fma.fma317179
Body of left maxilla,fma.fma57685
Lumen of lacrimal duct,fma.fma85378
Muscle body of orbitalis,fma.fma318720
White matter of right temporal lobe,fma.fma261083
Superficial fascia of left parotid part of face,fma.fma284898
Vasculature of bony part of left temporal bone,fma.fma314816
Gingiva,fma.fma59762
Gray matter of right substantia nigra,fma.fma271161
Deep part of left submandibular gland,fma.fma59948
Trunk of right common carotid artery,fma.fma69325
Skeletal muscle tissue of left frontalis,fma.fma318374
Dorsal nasal artery,fma.fma50000
Antihelical part of right auricular cartilage,fma.fma61345
Belly of antitragicus,fma.fma320027
Parietal occipital artery,fma.fma50654
Inferior temporal sulcus,fma.fma83784
Angular artery,fma.fma49583
Conjunctiva,fma.fma59011
Endosteum of inferior nasal concha,fma.fma315019
Optic nerve-tract complex,fma.fma62379
Left orbital compartment,fma.fma0329338
External granular layer of occipital lobe,fma.fma242531
Posterior calcarine sulcus,fma.fma83787
Branch of posterior inferior cerebellar artery,fma.fma76270
Right lateral nasal artery,fma.fma49581
Superficial fascia of temple,fma.fma320495
Recurrent branch of right ophthalmic artery,fma.fma51969
Inferior bulb of right internal jugular vein,fma.fma50820
